dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
15_3,2021-02-01,1437,20751052,1483,19907195,Feb,Q4,2020,Vikarabad
23_3,2021-02-01,6306,110091375,6484,109054471,Feb,Q4,2020,Yadadri Bhuvanagiri
17_2,2021-02-01,6945,444599080,7185,493804570,Feb,Q4,2020,Sangareddy
21_3,2021-02-01,1649,26715409,1679,25858843,Feb,Q4,2020,Jangoan
22_1,2021-02-01,5630,159732794,5689,159475445,Feb,Q4,2020,Khammam
18_1,2021-02-01,7167,117576137,7106,115846156,Feb,Q4,2020,Nizamabad
17_1,2021-02-01,1235,19185834,1434,21496709,Feb,Q4,2020,Medak
19_1,2021-02-01,1386,24286523,1411,22399667,Feb,Q4,2020,Adilabad
15_2,2021-02-01,18510,1629806056,18711,1595214532,Feb,Q4,2020,Medchal_Malkajgiri
21_6,2021-02-01,1179,13323411,1293,14086429,Feb,Q4,2020,Mulugu
14_5,2021-02-01,1079,14663381,1043,12734876,Feb,Q4,2020,Narayanpet
19_2,2021-02-01,1350,18523187,1343,17029208,Feb,Q4,2020,Nirmal
18_2,2021-02-01,2601,32015829,2613,32500843,Feb,Q4,2020,Kamareddy
21_5,2021-02-01,2039,35977404,1978,31061987,Feb,Q4,2020,Mahabubabad
15_1,2021-02-01,25991,2642344782,26731,2597611681,Feb,Q4,2020,Rangareddy
23_2,2021-02-01,3863,64695115,3876,59691195,Feb,Q4,2020,Suryapet
16_1,2021-02-01,6584,962450342,6668,907763211,Feb,Q4,2020,Hyderabad
17_3,2021-02-01,3383,67500024,3340,65177851,Feb,Q4,2020,Siddipet
17_2,2021-03-01,7882,597908360,8248,605185751,Mar,Q4,2020,Sangareddy
22_1,2021-03-01,5396,148814056,5721,154833480,Mar,Q4,2020,Khammam
16_1,2021-03-01,6347,887083310,6890,919447441,Mar,Q4,2020,Hyderabad
15_2,2021-03-01,19319,1686890849,20115,1759844910,Mar,Q4,2020,Medchal_Malkajgiri
22_2,2021-03-01,879,17503836,920,18245061,Mar,Q4,2020,Bhadradri Kothagudem
15_1,2021-03-01,28520,2956838178,29875,2984010113,Mar,Q4,2020,Rangareddy
14_3,2021-03-01,2700,26281387,2698,26739367,Mar,Q4,2020,Nagarkurnool
21_3,2021-03-01,2067,28609497,2129,30719167,Mar,Q4,2020,Jangoan
19_3,2021-03-01,1819,34071354,1660,32086904,Mar,Q4,2020,Mancherial
18_1,2021-03-01,6056,116813896,6373,119947201,Mar,Q4,2020,Nizamabad
23_1,2021-03-01,6987,122097867,7444,123801118,Mar,Q4,2020,Nalgonda
18_2,2021-03-01,2700,33325709,2830,34320137,Mar,Q4,2020,Kamareddy
21_2,2021-03-01,1076,16698092,1123,18517366,Mar,Q4,2020,Warangal
14_5,2021-03-01,1094,12617140,1112,12954135,Mar,Q4,2020,Narayanpet
20_3,2021-03-01,2277,26378069,2234,25457866,Mar,Q4,2020,Rajanna Sircilla
17_1,2021-03-01,1375,38983568,1346,23454589,Mar,Q4,2020,Medak
14_1,2021-03-01,3573,71235534,3810,75654410,Mar,Q4,2020,Mahabubnagar
19_4,2021-03-01,232,3533582,221,3298302,Mar,Q4,2020,Kumurambheem Asifabad
